Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
Wehrli Laurent,RL,VD,1965-06-04,1513.0,86.6
Hiltpold Hugues,RL,GE,1969-05-05,1514.0,85.5
Cassis Ignazio,RL,TI,1961-04-13,1500.0,85.1
Bourgeois Jacques,RL,FR,1958-03-14,1519.0,85.1
Campell Duri,BD,GR,1963-04-05,1453.0,82.4
Gössi Petra,RL,SZ,1976-01-12,1463.0,82.0
Gschwind Jean-Paul,C,JU,1952-10-31,1437.0,82.0
Vitali Albert,RL,LU,1955-06-26,1456.0,81.8
Bauer Philippe,RL,NE,1962-04-09,1448.0,81.6
Jauslin Matthias Samuel,RL,AG,1962-04-20,1448.0,81.5
Gmür-Schönenberger Andrea,C,LU,1964-07-17,1430.0,81.5
Vogler Karl,C,OW,1956-03-24,1428.0,81.5
Glanzmann-Hunkeler Ida,C,LU,1958-09-29,1430.0,81.5
Lüscher Christian,RL,GE,1963-12-06,1451.0,81.4
Dobler Marcel,RL,SG,1980-08-29,1450.0,81.4
Humbel Ruth,C,AG,1957-07-23,1419.0,81.0
Schneeberger Daniela,RL,BL,1967-09-19,1438.0,80.5
Romano Marco,C,TI,1982-11-06,1399.0,80.2
Regazzi Fabio,C,TI,1962-06-22,1408.0,80.1
Ritter Markus,C,SG,1967-04-19,1390.0,79.9
Büchler Jakob,C,SG,1952-05-29,1371.0,79.8
Müller Leo,C,LU,1958-07-04,1384.0,79.6
Derder Fathi,RL,VD,1970-12-04,1433.0,79.5
Gmür Alois,C,SZ,1955-04-03,1389.0,79.5
Guhl Bernhard,BD,AG,1972-06-10,1416.0,79.4
Eichenberger-Walther Corina,RL,AG,1954-10-14,1422.0,79.2
Lohr Christian,C,TG,1962-04-05,1398.0,79.2
Nantermod Philippe,RL,VS,1984-03-27,1404.0,78.9
Sauter Regine,RL,ZH,1966-04-16,1389.0,78.8
Müller Walter,RL,SG,1948-04-25,1395.0,78.8
Bulliard-Marbach Christine,C,FR,1959-10-13,1369.0,78.8
Amherd Viola,C,VS,1962-06-07,1380.0,78.8
Burkart Thierry,RL,AG,1975-08-21,1420.0,78.6
Béglé Claude,C,VD,1949-12-04,1367.0,78.4
Quadranti Rosmarie,BD,ZH,1957-07-18,1377.0,78.2
Genecand Benoît,RL,GE,1964-01-28,1379.0,78.0
Marchand-Balet Géraldine,C,VS,1971-01-18,1361.0,77.9
Feller Olivier,RL,VD,1974-08-30,1380.0,77.8
Buttet Yannick,C,VS,1977-07-12,1399.0,77.6
Gasche Urs,BD,BE,1955-03-15,1246.0,77.6
Riklin Kathy,C,ZH,1952-10-21,1346.0,76.4
Candinas Martin,C,GR,1980-08-20,1315.0,76.1
Schneider-Schneiter Elisabeth,C,BL,1964-02-19,1291.0,75.9
Wasserfallen Christian,RL,BE,1981-06-30,1347.0,75.6
Portmann Hans-Peter,RL,ZH,1963-02-22,1325.0,75.4
Eymann Christoph,RL,BS,1951-01-15,1334.0,75.2
Walti Beat,RL,ZH,1968-11-22,1392.0,75.1
Schmidt Roberto,C,VS,1962-07-16,1338.0,74.8
Merlini Giovanni,RL,TI,1962-05-27,757.0,74.6
Pezzatti Bruno,RL,ZG,1951-03-04,1369.0,74.1
Borloz Frédéric,RL,VD,1966-04-22,1310.0,74.0
Schilliger Peter,RL,LU,1959-06-01,1339.0,74.0
Müller-Altermatt Stefan,C,SO,1976-06-17,1292.0,73.8
Hess Lorenz,BD,BE,1961-06-28,1269.0,73.5
Barazzone Guillaume,C,GE,1982-01-13,1265.0,73.4
Schmid-Federer Barbara,C,ZH,1965-11-10,1290.0,73.4
Landolt Martin,BD,GL,1968-06-30,1299.0,72.2
de Buman Dominique,C,FR,1956-04-28,1287.0,72.0
Fluri Kurt,RL,SO,1955-08-19,1304.0,71.9
Bigler Hans-Ulrich,RL,ZH,1958-04-05,1291.0,70.9
Weibel Thomas,GL,ZH,1954-07-14,1252.0,70.2
Flach Beat,GL,AG,1965-01-21,1242.0,69.6
Moser Tiana Angelina,GL,ZH,1979-04-06,1226.0,69.0
Fässler Daniel,C,AI,1960-08-22,1259.0,68.4
Pfister Gerhard,C,ZG,1962-10-01,1169.0,68.4
Grossen Jürg,GL,BE,1969-08-24,1217.0,67.4
Grunder Hans,BD,BE,1956-06-13,1195.0,66.1
Chevalley Isabelle,GL,VD,1972-04-13,1190.0,66.0
Ammann Thomas,C,SG,1964-07-13,1183.0,65.9
Streiff-Feller Marianne,C,BE,1957-08-17,1142.0,65.0
Clottu Raymond,V,NE,1967-12-18,1145.0,64.6
Pantani Roberta,V,TI,1965-09-19,1135.0,64.5
Page Pierre-André,V,FR,1960-04-19,1143.0,64.4
Grin Jean-Pierre,V,VD,1947-03-16,1129.0,64.2
Müri Felix,V,LU,1958-01-22,1128.0,64.1
Ruppen Franz,V,VS,1971-02-24,1129.0,64.0
Glauser-Zufferey Alice,V,VD,1954-10-18,1009.0,63.9
Bertschy Kathrin,GL,BE,1979-07-02,1143.0,63.8
Sollberger Sandra,V,BL,1973-10-27,1126.0,63.8
Moret Isabelle,RL,VD,1970-12-30,1156.0,63.8
Bühler Manfred,V,BE,1979-04-10,1123.0,63.6
Müller Thomas,V,SG,1952-12-01,1135.0,63.5
Hess Hermann,RL,TG,1951-12-22,1171.0,63.4
Keller-Inhelder Barbara,V,SG,1968-08-24,1108.0,63.1
Herzog Verena,V,TG,1956-02-07,1119.0,63.0
Salzmann Werner,V,BE,1962-11-05,1117.0,63.0
Addor Jean-Luc,V,VS,1964-04-22,1113.0,62.9
Ingold Maja,C,ZH,1948-05-23,1101.0,62.9
Pieren Nadja,V,BE,1980-02-14,1109.0,62.8
Fiala Doris,RL,ZH,1957-01-29,1115.0,62.8
Amstutz Adrian,V,BE,1953-12-02,1106.0,62.6
Walter Hansjörg,V,TG,1951-02-05,1133.0,62.6
Hausammann Markus,V,TG,1964-09-20,1102.0,62.5
von Siebenthal Erich,V,BE,1958-12-30,1104.0,62.5
Zuberbühler David,V,AR,1979-02-20,1096.0,62.4
Amaudruz Céline,V,GE,1979-03-15,1105.0,62.4
Chiesa Marco,V,TI,1974-10-10,1111.0,62.2
Steinemann Barbara,V,ZH,1976-06-18,1093.0,62.2
Tuena Mauro,V,ZH,1972-01-25,1105.0,62.2
Golay Roger,V,GE,1959-09-23,1112.0,62.2
Imark Christian,V,SO,1982-01-29,1107.0,62.1
Arnold Beat,V,UR,1978-04-24,1084.0,62.0
Zanetti Claudio,V,ZH,1967-06-16,1098.0,61.9
Geissbühler Andrea Martina,V,BE,1976-08-03,1089.0,61.8
Wobmann Walter,V,SO,1957-11-21,1084.0,61.8
Flückiger-Bäni Sylvia,V,AG,1952-06-01,1091.0,61.4
Knecht Hansjörg,V,AG,1960-03-24,1103.0,61.2
Hurter Thomas,V,SH,1963-11-01,1090.0,61.1
Vogt Hans-Ueli,V,ZH,1969-12-05,1082.0,61.1
Keller Peter,V,NW,1971-04-22,1077.0,60.8
Aebi Andreas,V,BE,1958-11-26,1072.0,60.6
Matter Thomas,V,ZH,1966-03-23,1074.0,60.6
Rickli Natalie Simone,V,ZH,1976-11-19,1076.0,60.6
Nicolet Jacques,V,VD,1965-10-24,1082.0,60.5
Büchel Roland Rino,V,SG,1965-10-08,1073.0,60.5
Glarner Andreas,V,AG,1962-10-09,1065.0,60.4
de Courten Thomas,V,BL,1966-07-29,1065.0,60.2
Grüter Franz,V,LU,1963-07-29,1056.0,60.2
Quadri Lorenzo,V,TI,1974-11-05,1056.0,60.1
Martullo-Blocher Magdalena,V,GR,1969-08-13,1058.0,60.1
Rösti Albert,V,BE,1967-08-07,1073.0,59.9
Dettling Marcel,V,SZ,1981-02-01,1044.0,59.9
Buffat Michaël,V,VD,1979-09-27,1064.0,59.8
Reimann Maximilian,V,AG,1942-05-07,1049.0,59.5
Aeschi Thomas,V,ZG,1979-01-13,1038.0,59.2
Burgherr Thomas,V,AG,1962-08-01,902.0,59.1
Rutz Gregor A.,V,ZH,1972-10-12,1042.0,59.0
Schwander Pirmin,V,SZ,1961-12-28,1033.0,58.9
Giezendanner Ulrich,V,AG,1953-10-31,1032.0,58.4
Brunner Toni,V,SG,1974-08-23,1020.0,58.1
Brand Heinz,V,GR,1955-09-06,1058.0,58.0
